كَتَبَ	كتب	kátaba
فَكَتَبْنَكُمْ	فكتبنكم	fakatábnakum
فَكَتَبْنَكُمَا	فكتبنكما	fakatabnákuma̱
فَكَتَبْنَهَا	فكتبنها	fakatábnaha̱
فَكَتَبْنَهُ	فكتبنه	fakatábnahu
فَكَتَبْنَهُمْ	فكتبنهم	fakatábnahum
فَكَتَبْنَهُمَا	فكتبنهما	fakatabnáhuma̱
فَكَتَبْنَهُنَّ	فكتبنهن	fakatabnahúnna
فَكَتَبْنَكُنَّ	فكتبنكن	fakatabnakúnna
أَكَتَبْنَ	أكتبن	ʾakatábna
أَكَتَبْنَنِي	أكتبنني	ʾakatábnani̱
أَكَتَبْنَنَا	أكتبننا	ʾakatábnana̱
أَكَتَبْنَكَ	أكتبنك	ʾakatábnaka
أَكَتَبْنَكِ	أكتبنك	ʾakatábnaki
أَكَتَبْنَكُمْ	أكتبنكم	ʾakatábnakum
أَكَتَبْنَكُمَا	أكتبنكما	ʾakatabnákuma̱
أَكَتَبْنَهَا	أكتبنها	ʾakatábnaha̱
أَكَتَبْنَهُ	أكتبنه	ʾakatábnahu
أَكَتَبْنَهُمْ	أكتبنهم	ʾakatábnahum
أَكَتَبْنَهُمَا	أكتبنهما	ʾakatabnáhuma̱
أَكَتَبْنَهُنَّ	أكتبنهن	ʾakatabnahúnna
أَكَتَبْنَكُنَّ	أكتبنكن	ʾakatabnakúnna
أَوَكَتَبْنَ	أوكتبن	ʾawakatábna
أَوَكَتَبْنَنِي	أوكتبنني	ʾawakatábnani̱
أَوَكَتَبْنَنَا	أوكتبننا	ʾawakatábnana̱
أَوَكَتَبْنَكَ	أوكتبنك	ʾawakatábnaka
أَوَكَتَبْنَكِ	أوكتبنك	ʾawakatábnaki
أَوَكَتَبْنَكُمْ	أوكتبنكم	ʾawakatábnakum
أَوَكَتَبْنَكُمَا	أوكتبنكما	ʾawakatabnákuma̱
أَوَكَتَبْنَهَا	أوكتبنها	ʾawakatábnaha̱
أَوَكَتَبْنَهُ	أوكتبنه	ʾawakatábnahu
أَوَكَتَبْنَهُمْ	أوكتبنهم	ʾawakatábnahum
أَوَكَتَبْنَهُمَا	أوكتبنهما	ʾawakatabnáhuma̱
أَوَكَتَبْنَهُنَّ	أوكتبنهن	ʾawakatabnahúnna
أَوَكَتَبْنَكُنَّ	أوكتبنكن	ʾawakatabnakúnna
أَفَكَتَبْنَ	أفكتبن	ʾafakatábna
أَفَكَتَبْنَنِي	أفكتبنني	ʾafakatábnani̱
أَفَكَتَبْنَنَا	أفكتبننا	ʾafakatábnana̱
أَفَكَتَبْنَكَ	أفكتبنك	ʾafakatábnaka
أَفَكَتَبْنَكِ	أفكتبنك	ʾafakatábnaki
أَفَكَتَبْنَكُمْ	أفكتبنكم	ʾafakatábnakum
أَفَكَتَبْنَكُمَا	أفكتبنكما	ʾafakatabnákuma̱
أَفَكَتَبْنَهَا	أفكتبنها	ʾafakatábnaha̱
أَفَكَتَبْنَهُ	أفكتبنه	ʾafakatábnahu
أَفَكَتَبْنَهُمْ	أفكتبنهم	ʾafakatábnahum
أَفَكَتَبْنَهُمَا	أفكتبنهما	ʾafakatabnáhuma̱
أَفَكَتَبْنَهُنَّ	أفكتبنهن	ʾafakatabnahúnna
أَفَكَتَبْنَكُنَّ	أفكتبنكن	ʾafakatabnakúnna
كَتَبْنَا	كتبنا	katábna̱
كَتَبْنَاكَ	كتبناك	katabnā́ka
كَتَبْنَاكِ	كتبناك	katabnā́ki
كَتَبْنَاكُمْ	كتبناكم	katabnā́kum
كَتَبْنَاكُمَا	كتبناكما	katabnā́kuma̱
كَتَبْنَاهَا	كتبناها	katabnā́ha̱
كَتَبْنَاهُ	كتبناه	katabnā́hu
كَتَبْنَاهُمْ	كتبناهم	katabnā́hum
كَتَبْنَاهُمَا	كتبناهما	katabnā́huma̱
كَتَبْنَاهُنَّ	كتبناهن	katabnāhúnna
كَتَبْنَاكُنَّ	كتبناكن	katabnākúnna
وَكَتَبْنَا	وكتبنا	wakatábna̱
وَكَتَبْنَاكَ	وكتبناك	wakatabnā́ka
وَكَتَبْنَاكِ	وكتبناك	wakatabnā́ki
وَكَتَبْنَاكُمْ	وكتبناكم	wakatabnā́kum
وَكَتَبْنَاكُمَا	وكتبناكما	wakatabnā́kuma̱
وَكَتَبْنَاهَا	وكتبناها	wakatabnā́ha̱
وَكَتَبْنَاهُ	وكتبناه	wakatabnā́hu
وَكَتَبْنَاهُمْ	وكتبناهم	wakatabnā́hum
وَكَتَبْنَاهُمَا	وكتبناهما	wakatabnā́huma̱
وَكَتَبْنَاهُنَّ	وكتبناهن	wakatabnāhúnna
وَكَتَبْنَاكُنَّ	وكتبناكن	wakatabnākúnna
فَكَتَبْنَا	فكتبنا	fakatábna̱
فَكَتَبْنَاكَ	فكتبناك	fakatabnā́ka
فَكَتَبْنَاكِ	فكتبناك	fakatabnā́ki
فَكَتَبْنَاكُمْ	فكتبناكم	fakatabnā́kum
فَكَتَبْنَاكُمَا	فكتبناكما	fakatabnā́kuma̱
فَكَتَبْنَاهَا	فكتبناها	fakatabnā́ha̱
فَكَتَبْنَاهُ	فكتبناه	fakatabnā́hu
فَكَتَبْنَاهُمْ	فكتبناهم	fakatabnā́hum
فَكَتَبْنَاهُمَا	فكتبناهما	fakatabnā́huma̱
فَكَتَبْنَاهُنَّ	فكتبناهن	fakatabnāhúnna
فَكَتَبْنَاكُنَّ	فكتبناكن	fakatabnākúnna
أَكَتَبْنَا	أكتبنا	ʾakatábna̱
أَكَتَبْنَاكَ	أكتبناك	ʾakatabnā́ka
أَكَتَبْنَاكِ	أكتبناك	ʾakatabnā́ki
أَكَتَبْنَاكُمْ	أكتبناكم	ʾakatabnā́kum
أَكَتَبْنَاكُمَا	أكتبناكما	ʾakatabnā́kuma̱
أَكَتَبْنَاهَا	أكتبناها	ʾakatabnā́ha̱
أَكَتَبْنَاهُ	أكتبناه	ʾakatabnā́hu
أَكَتَبْنَاهُمْ	أكتبناهم	ʾakatabnā́hum
أَكَتَبْنَاهُمَا	أكتبناهما	ʾakatabnā́huma̱
أَكَتَبْنَاهُنَّ	أكتبناهن	ʾakatabnāhúnna
أَكَتَبْنَاكُنَّ	أكتبناكن	ʾakatabnākúnna
أَوَكَتَبْنَا	أوكتبنا	ʾawakatábna̱
أَوَكَتَبْنَاكَ	أوكتبناك	ʾawakatabnā́ka
أَوَكَتَبْنَاكِ	أوكتبناك	ʾawakatabnā́ki
أَوَكَتَبْنَاكُمْ	أوكتبناكم	ʾawakatabnā́kum
أَوَكَتَبْنَاكُمَا	أوكتبناكما	ʾawakatabnā́kuma̱
أَوَكَتَبْنَاهَا	أوكتبناها	ʾawakatabnā́ha̱
أَوَكَتَبْنَاهُ	أوكتبناه	ʾawakatabnā́hu
أَوَكَتَبْنَاهُمْ	أوكتبناهم	ʾawakatabnā́hum
أَوَكَتَبْنَاهُمَا	أوكتبناهما	ʾawakatabnā́huma̱
أَوَكَتَبْنَاهُنَّ	أوكتبناهن	ʾawakatabnāhúnna
أَوَكَتَبْنَاكُنَّ	أوكتبناكن	ʾawakatabnākúnna
أَفَكَتَبْنَا	أفكتبنا	ʾafakatábna̱
أَفَكَتَبْنَاكَ	أفكتبناك	ʾafakatabnā́ka
أَفَكَتَبْنَاكِ	أفكتبناك	ʾafakatabnā́ki
أَفَكَتَبْنَاكُمْ	أفكتبناكم	ʾafakatabnā́kum
