كَتَبَ	كتب	kátaba
أَوَسَأَكْتُبُكُنَّ	أوساكتبكن	ʾawasaʾaktubukúnna
أَفَسَأَكْتُبُ	أفسأكتب	ʾafasaʾáktubu
أَفَسَأَكْتُبُ	أفساكتب	ʾafasaʾáktubu
أَفَسَأَكْتُبُنِي	أفسأكتبني	ʾafasaʾaktúbuni̱
أَفَسَأَكْتُبُنِي	أفساكتبني	ʾafasaʾaktúbuni̱
أَفَسَأَكْتُبُنَا	أفسأكتبنا	ʾafasaʾaktúbuna̱
أَفَسَأَكْتُبُنَا	أفساكتبنا	ʾafasaʾaktúbuna̱
أَفَسَأَكْتُبُكَ	أفسأكتبك	ʾafasaʾaktúbuka
أَفَسَأَكْتُبُكَ	أفساكتبك	ʾafasaʾaktúbuka
أَفَسَأَكْتُبُكِ	أفسأكتبك	ʾafasaʾaktúbuki
أَفَسَأَكْتُبُكِ	أفساكتبك	ʾafasaʾaktúbuki
أَفَسَأَكْتُبُكُمْ	أفسأكتبكم	ʾafasaʾaktúbukum
أَفَسَأَكْتُبُكُمْ	أفساكتبكم	ʾafasaʾaktúbukum
أَفَسَأَكْتُبُكُمَا	أفسأكتبكما	ʾafasaʾaktubúkuma̱
أَفَسَأَكْتُبُكُمَا	أفساكتبكما	ʾafasaʾaktubúkuma̱
أَفَسَأَكْتُبُهَا	أفسأكتبها	ʾafasaʾaktúbuha̱
أَفَسَأَكْتُبُهَا	أفساكتبها	ʾafasaʾaktúbuha̱
أَفَسَأَكْتُبُهُ	أفسأكتبه	ʾafasaʾaktúbuhu
أَفَسَأَكْتُبُهُ	أفساكتبه	ʾafasaʾaktúbuhu
أَفَسَأَكْتُبُهُمْ	أفسأكتبهم	ʾafasaʾaktúbuhum
أَفَسَأَكْتُبُهُمْ	أفساكتبهم	ʾafasaʾaktúbuhum
أَفَسَأَكْتُبُهُمَا	أفسأكتبهما	ʾafasaʾaktubúhuma̱
أَفَسَأَكْتُبُهُمَا	أفساكتبهما	ʾafasaʾaktubúhuma̱
أَفَسَأَكْتُبُهُنَّ	أفسأكتبهن	ʾafasaʾaktubuhúnna
أَفَسَأَكْتُبُهُنَّ	أفساكتبهن	ʾafasaʾaktubuhúnna
أَفَسَأَكْتُبُكُنَّ	أفسأكتبكن	ʾafasaʾaktubukúnna
أَفَسَأَكْتُبُكُنَّ	أفساكتبكن	ʾafasaʾaktubukúnna
سَنَكْتُبُ	سنكتب	sanáktubu
سَنَكْتُبُنِي	سنكتبني	sanaktúbuni̱
سَنَكْتُبُنَا	سنكتبنا	sanaktúbuna̱
سَنَكْتُبُكَ	سنكتبك	sanaktúbuka
سَنَكْتُبُكِ	سنكتبك	sanaktúbuki
سَنَكْتُبُكُمْ	سنكتبكم	sanaktúbukum
سَنَكْتُبُكُمَا	سنكتبكما	sanaktubúkuma̱
سَنَكْتُبُهَا	سنكتبها	sanaktúbuha̱
سَنَكْتُبُهُ	سنكتبه	sanaktúbuhu
سَنَكْتُبُهُمْ	سنكتبهم	sanaktúbuhum
سَنَكْتُبُهُمَا	سنكتبهما	sanaktubúhuma̱
سَنَكْتُبُهُنَّ	سنكتبهن	sanaktubuhúnna
سَنَكْتُبُكُنَّ	سنكتبكن	sanaktubukúnna
وَسَنَكْتُبُ	وسنكتب	wasanáktubu
وَسَنَكْتُبُنِي	وسنكتبني	wasanaktúbuni̱
وَسَنَكْتُبُنَا	وسنكتبنا	wasanaktúbuna̱
وَسَنَكْتُبُكَ	وسنكتبك	wasanaktúbuka
وَسَنَكْتُبُكِ	وسنكتبك	wasanaktúbuki
وَسَنَكْتُبُكُمْ	وسنكتبكم	wasanaktúbukum
وَسَنَكْتُبُكُمَا	وسنكتبكما	wasanaktubúkuma̱
وَسَنَكْتُبُهَا	وسنكتبها	wasanaktúbuha̱
وَسَنَكْتُبُهُ	وسنكتبه	wasanaktúbuhu
وَسَنَكْتُبُهُمْ	وسنكتبهم	wasanaktúbuhum
وَسَنَكْتُبُهُمَا	وسنكتبهما	wasanaktubúhuma̱
وَسَنَكْتُبُهُنَّ	وسنكتبهن	wasanaktubuhúnna
وَسَنَكْتُبُكُنَّ	وسنكتبكن	wasanaktubukúnna
فَسَنَكْتُبُ	فسنكتب	fasanáktubu
فَسَنَكْتُبُنِي	فسنكتبني	fasanaktúbuni̱
فَسَنَكْتُبُنَا	فسنكتبنا	fasanaktúbuna̱
فَسَنَكْتُبُكَ	فسنكتبك	fasanaktúbuka
فَسَنَكْتُبُكِ	فسنكتبك	fasanaktúbuki
فَسَنَكْتُبُكُمْ	فسنكتبكم	fasanaktúbukum
فَسَنَكْتُبُكُمَا	فسنكتبكما	fasanaktubúkuma̱
فَسَنَكْتُبُهَا	فسنكتبها	fasanaktúbuha̱
فَسَنَكْتُبُهُ	فسنكتبه	fasanaktúbuhu
فَسَنَكْتُبُهُمْ	فسنكتبهم	fasanaktúbuhum
فَسَنَكْتُبُهُمَا	فسنكتبهما	fasanaktubúhuma̱
فَسَنَكْتُبُهُنَّ	فسنكتبهن	fasanaktubuhúnna
فَسَنَكْتُبُكُنَّ	فسنكتبكن	fasanaktubukúnna
أَسَنَكْتُبُ	أسنكتب	ʾasanáktubu
أَسَنَكْتُبُنِي	أسنكتبني	ʾasanaktúbuni̱
أَسَنَكْتُبُنَا	أسنكتبنا	ʾasanaktúbuna̱
أَسَنَكْتُبُكَ	أسنكتبك	ʾasanaktúbuka
أَسَنَكْتُبُكِ	أسنكتبك	ʾasanaktúbuki
أَسَنَكْتُبُكُمْ	أسنكتبكم	ʾasanaktúbukum
أَسَنَكْتُبُكُمَا	أسنكتبكما	ʾasanaktubúkuma̱
أَسَنَكْتُبُهَا	أسنكتبها	ʾasanaktúbuha̱
أَسَنَكْتُبُهُ	أسنكتبه	ʾasanaktúbuhu
أَسَنَكْتُبُهُمْ	أسنكتبهم	ʾasanaktúbuhum
أَسَنَكْتُبُهُمَا	أسنكتبهما	ʾasanaktubúhuma̱
أَسَنَكْتُبُهُنَّ	أسنكتبهن	ʾasanaktubuhúnna
أَسَنَكْتُبُكُنَّ	أسنكتبكن	ʾasanaktubukúnna
أَوَسَنَكْتُبُ	أوسنكتب	ʾawasanáktubu
أَوَسَنَكْتُبُنِي	أوسنكتبني	ʾawasanaktúbuni̱
أَوَسَنَكْتُبُنَا	أوسنكتبنا	ʾawasanaktúbuna̱
أَوَسَنَكْتُبُكَ	أوسنكتبك	ʾawasanaktúbuka
أَوَسَنَكْتُبُكِ	أوسنكتبك	ʾawasanaktúbuki
أَوَسَنَكْتُبُكُمْ	أوسنكتبكم	ʾawasanaktúbukum
أَوَسَنَكْتُبُكُمَا	أوسنكتبكما	ʾawasanaktubúkuma̱
أَوَسَنَكْتُبُهَا	أوسنكتبها	ʾawasanaktúbuha̱
أَوَسَنَكْتُبُهُ	أوسنكتبه	ʾawasanaktúbuhu
أَوَسَنَكْتُبُهُمْ	أوسنكتبهم	ʾawasanaktúbuhum
أَوَسَنَكْتُبُهُمَا	أوسنكتبهما	ʾawasanaktubúhuma̱
أَوَسَنَكْتُبُهُنَّ	أوسنكتبهن	ʾawasanaktubuhúnna
أَوَسَنَكْتُبُكُنَّ	أوسنكتبكن	ʾawasanaktubukúnna
أَفَسَنَكْتُبُ	أفسنكتب	ʾafasanáktubu
أَفَسَنَكْتُبُنِي	أفسنكتبني	ʾafasanaktúbuni̱
أَفَسَنَكْتُبُنَا	أفسنكتبنا	ʾafasanaktúbuna̱
أَفَسَنَكْتُبُكَ	أفسنكتبك	ʾafasanaktúbuka
أَفَسَنَكْتُبُكِ	أفسنكتبك	ʾafasanaktúbuki
أَفَسَنَكْتُبُكُمْ	أفسنكتبكم	ʾafasanaktúbukum
أَفَسَنَكْتُبُكُمَا	أفسنكتبكما	ʾafasanaktubúkuma̱
أَفَسَنَكْتُبُهَا	أفسنكتبها	ʾafasanaktúbuha̱
أَفَسَنَكْتُبُهُ	أفسنكتبه	ʾafasanaktúbuhu
أَفَسَنَكْتُبُهُمْ	أفسنكتبهم	ʾafasanaktúbuhum
أَفَسَنَكْتُبُهُمَا	أفسنكتبهما	ʾafasanaktubúhuma̱
أَفَسَنَكْتُبُهُنَّ	أفسنكتبهن	ʾafasanaktubuhúnna
أَفَسَنَكْتُبُكُنَّ	أفسنكتبكن	ʾafasanaktubukúnna
سَتَكْتُبُ	ستكتب	satáktubu
سَتَكْتُبُنِي	ستكتبني	sataktúbuni̱
سَتَكْتُبُنَا	ستكتبنا	sataktúbuna̱
سَتَكْتُبُكَ	ستكتبك	sataktúbuka
سَتَكْتُبُكِ	ستكتبك	sataktúbuki
سَتَكْتُبُكُمْ	ستكتبكم	sataktúbukum
سَتَكْتُبُكُمَا	ستكتبكما	sataktubúkuma̱
سَتَكْتُبُهَا	ستكتبها	sataktúbuha̱
سَتَكْتُبُهُ	ستكتبه	sataktúbuhu
سَتَكْتُبُهُمْ	ستكتبهم	sataktúbuhum
سَتَكْتُبُهُمَا	ستكتبهما	sataktubúhuma̱
سَتَكْتُبُهُنَّ	ستكتبهن	sataktubuhúnna
سَتَكْتُبُكُنَّ	ستكتبكن	sataktubukúnna
وَسَتَكْتُبُ	وستكتب	wasatáktubu
وَسَتَكْتُبُنِي	وستكتبني	wasataktúbuni̱
وَسَتَكْتُبُنَا	وستكتبنا	wasataktúbuna̱
وَسَتَكْتُبُكَ	وستكتبك	wasataktúbuka
وَسَتَكْتُبُكِ	وستكتبك	wasataktúbuki
وَسَتَكْتُبُكُمْ	وستكتبكم	wasataktúbukum
وَسَتَكْتُبُكُمَا	وستكتبكما	wasataktubúkuma̱
وَسَتَكْتُبُهَا	وستكتبها	wasataktúbuha̱
وَسَتَكْتُبُهُ	وستكتبه	wasataktúbuhu
وَسَتَكْتُبُهُمْ	وستكتبهم	wasataktúbuhum
وَسَتَكْتُبُهُمَا	وستكتبهما	wasataktubúhuma̱
وَسَتَكْتُبُهُنَّ	وستكتبهن	wasataktubuhúnna
وَسَتَكْتُبُكُنَّ	وستكتبكن	wasataktubukúnna
فَسَتَكْتُبُ	فستكتب	fasatáktubu
فَسَتَكْتُبُنِي	فستكتبني	fasataktúbuni̱
فَسَتَكْتُبُنَا	فستكتبنا	fasataktúbuna̱
فَسَتَكْتُبُكَ	فستكتبك	fasataktúbuka
فَسَتَكْتُبُكِ	فستكتبك	fasataktúbuki
فَسَتَكْتُبُكُمْ	فستكتبكم	fasataktúbukum
فَسَتَكْتُبُكُمَا	فستكتبكما	fasataktubúkuma̱
فَسَتَكْتُبُهَا	فستكتبها	fasataktúbuha̱
فَسَتَكْتُبُهُ	فستكتبه	fasataktúbuhu
فَسَتَكْتُبُهُمْ	فستكتبهم	fasataktúbuhum
فَسَتَكْتُبُهُمَا	فستكتبهما	fasataktubúhuma̱
فَسَتَكْتُبُهُنَّ	فستكتبهن	fasataktubuhúnna
فَسَتَكْتُبُكُنَّ	فستكتبكن	fasataktubukúnna
أَسَتَكْتُبُ	أستكتب	ʾasatáktubu
أَسَتَكْتُبُنِي	أستكتبني	ʾasataktúbuni̱
أَسَتَكْتُبُنَا	أستكتبنا	ʾasataktúbuna̱
أَسَتَكْتُبُكَ	أستكتبك	ʾasataktúbuka
أَسَتَكْتُبُكِ	أستكتبك	ʾasataktúbuki
أَسَتَكْتُبُكُمْ	أستكتبكم	ʾasataktúbukum
أَسَتَكْتُبُكُمَا	أستكتبكما	ʾasataktubúkuma̱
أَسَتَكْتُبُهَا	أستكتبها	ʾasataktúbuha̱
أَسَتَكْتُبُهُ	أستكتبه	ʾasataktúbuhu
أَسَتَكْتُبُهُمْ	أستكتبهم	ʾasataktúbuhum
أَسَتَكْتُبُهُمَا	أستكتبهما	ʾasataktubúhuma̱
أَسَتَكْتُبُهُنَّ	أستكتبهن	ʾasataktubuhúnna
أَسَتَكْتُبُكُنَّ	أستكتبكن	ʾasataktubukúnna
أَوَسَتَكْتُبُ	أوستكتب	ʾawasatáktubu
أَوَسَتَكْتُبُنِي	أوستكتبني	ʾawasataktúbuni̱
أَوَسَتَكْتُبُنَا	أوستكتبنا	ʾawasataktúbuna̱
أَوَسَتَكْتُبُكَ	أوستكتبك	ʾawasataktúbuka
أَوَسَتَكْتُبُكِ	أوستكتبك	ʾawasataktúbuki
أَوَسَتَكْتُبُكُمْ	أوستكتبكم	ʾawasataktúbukum
أَوَسَتَكْتُبُكُمَا	أوستكتبكما	ʾawasataktubúkuma̱
أَوَسَتَكْتُبُهَا	أوستكتبها	ʾawasataktúbuha̱
أَوَسَتَكْتُبُهُ	أوستكتبه	ʾawasataktúbuhu
أَوَسَتَكْتُبُهُمْ	أوستكتبهم	ʾawasataktúbuhum
أَوَسَتَكْتُبُهُمَا	أوستكتبهما	ʾawasataktubúhuma̱
أَوَسَتَكْتُبُهُنَّ	أوستكتبهن	ʾawasataktubuhúnna
أَوَسَتَكْتُبُكُنَّ	أوستكتبكن	ʾawasataktubukúnna
أَفَسَتَكْتُبُ	أفستكتب	ʾafasatáktubu
أَفَسَتَكْتُبُنِي	أفستكتبني	ʾafasataktúbuni̱
أَفَسَتَكْتُبُنَا	أفستكتبنا	ʾafasataktúbuna̱
أَفَسَتَكْتُبُكَ	أفستكتبك	ʾafasataktúbuka
أَفَسَتَكْتُبُكِ	أفستكتبك	ʾafasataktúbuki
أَفَسَتَكْتُبُكُمْ	أفستكتبكم	ʾafasataktúbukum
أَفَسَتَكْتُبُكُمَا	أفستكتبكما	ʾafasataktubúkuma̱
أَفَسَتَكْتُبُهَا	أفستكتبها	ʾafasataktúbuha̱
أَفَسَتَكْتُبُهُ	أفستكتبه	ʾafasataktúbuhu
أَفَسَتَكْتُبُهُمْ	أفستكتبهم	ʾafasataktúbuhum
أَفَسَتَكْتُبُهُمَا	أفستكتبهما	ʾafasataktubúhuma̱
أَفَسَتَكْتُبُهُنَّ	أفستكتبهن	ʾafasataktubuhúnna
أَفَسَتَكْتُبُكُنَّ	أفستكتبكن	ʾafasataktubukúnna
سَتَكْتُبُ	ستكتب	satáktubu
سَتَكْتُبُنِي	ستكتبني	sataktúbuni̱
سَتَكْتُبُنَا	ستكتبنا	sataktúbuna̱
سَتَكْتُبُكَ	ستكتبك	sataktúbuka
سَتَكْتُبُكِ	ستكتبك	sataktúbuki
سَتَكْتُبُكُمْ	ستكتبكم	sataktúbukum
سَتَكْتُبُكُمَا	ستكتبكما	sataktubúkuma̱
سَتَكْتُبُهَا	ستكتبها	sataktúbuha̱
سَتَكْتُبُهُ	ستكتبه	sataktúbuhu
سَتَكْتُبُهُمْ	ستكتبهم	sataktúbuhum
سَتَكْتُبُهُمَا	ستكتبهما	sataktubúhuma̱
سَتَكْتُبُهُنَّ	ستكتبهن	sataktubuhúnna
سَتَكْتُبُكُنَّ	ستكتبكن	sataktubukúnna
وَسَتَكْتُبُ	وستكتب	wasatáktubu
وَسَتَكْتُبُنِي	وستكتبني	wasataktúbuni̱
وَسَتَكْتُبُنَا	وستكتبنا	wasataktúbuna̱
وَسَتَكْتُبُكَ	وستكتبك	wasataktúbuka
وَسَتَكْتُبُكِ	وستكتبك	wasataktúbuki
وَسَتَكْتُبُكُمْ	وستكتبكم	wasataktúbukum
وَسَتَكْتُبُكُمَا	وستكتبكما	wasataktubúkuma̱
وَسَتَكْتُبُهَا	وستكتبها	wasataktúbuha̱
وَسَتَكْتُبُهُ	وستكتبه	wasataktúbuhu
وَسَتَكْتُبُهُمْ	وستكتبهم	wasataktúbuhum
وَسَتَكْتُبُهُمَا	وستكتبهما	wasataktubúhuma̱
وَسَتَكْتُبُهُنَّ	وستكتبهن	wasataktubuhúnna
وَسَتَكْتُبُكُنَّ	وستكتبكن	wasataktubukúnna
فَسَتَكْتُبُ	فستكتب	fasatáktubu
فَسَتَكْتُبُنِي	فستكتبني	fasataktúbuni̱
فَسَتَكْتُبُنَا	فستكتبنا	fasataktúbuna̱
فَسَتَكْتُبُكَ	فستكتبك	fasataktúbuka
فَسَتَكْتُبُكِ	فستكتبك	fasataktúbuki
فَسَتَكْتُبُكُمْ	فستكتبكم	fasataktúbukum
فَسَتَكْتُبُكُمَا	فستكتبكما	fasataktubúkuma̱
فَسَتَكْتُبُهَا	فستكتبها	fasataktúbuha̱
فَسَتَكْتُبُهُ	فستكتبه	fasataktúbuhu
فَسَتَكْتُبُهُمْ	فستكتبهم	fasataktúbuhum
فَسَتَكْتُبُهُمَا	فستكتبهما	fasataktubúhuma̱
فَسَتَكْتُبُهُنَّ	فستكتبهن	fasataktubuhúnna
فَسَتَكْتُبُكُنَّ	فستكتبكن	fasataktubukúnna
أَسَتَكْتُبُ	أستكتب	ʾasatáktubu
أَسَتَكْتُبُنِي	أستكتبني	ʾasataktúbuni̱
أَسَتَكْتُبُنَا	أستكتبنا	ʾasataktúbuna̱
أَسَتَكْتُبُكَ	أستكتبك	ʾasataktúbuka
أَسَتَكْتُبُكِ	أستكتبك	ʾasataktúbuki
أَسَتَكْتُبُكُمْ	أستكتبكم	ʾasataktúbukum
أَسَتَكْتُبُكُمَا	أستكتبكما	ʾasataktubúkuma̱
أَسَتَكْتُبُهَا	أستكتبها	ʾasataktúbuha̱
أَسَتَكْتُبُهُ	أستكتبه	ʾasataktúbuhu
أَسَتَكْتُبُهُمْ	أستكتبهم	ʾasataktúbuhum
أَسَتَكْتُبُهُمَا	أستكتبهما	ʾasataktubúhuma̱
أَسَتَكْتُبُهُنَّ	أستكتبهن	ʾasataktubuhúnna
أَسَتَكْتُبُكُنَّ	أستكتبكن	ʾasataktubukúnna
أَوَسَتَكْتُبُ	أوستكتب	ʾawasatáktubu
أَوَسَتَكْتُبُنِي	أوستكتبني	ʾawasataktúbuni̱
أَوَسَتَكْتُبُنَا	أوستكتبنا	ʾawasataktúbuna̱
أَوَسَتَكْتُبُكَ	أوستكتبك	ʾawasataktúbuka
أَوَسَتَكْتُبُكِ	أوستكتبك	ʾawasataktúbuki
أَوَسَتَكْتُبُكُمْ	أوستكتبكم	ʾawasataktúbukum
أَوَسَتَكْتُبُكُمَا	أوستكتبكما	ʾawasataktubúkuma̱
أَوَسَتَكْتُبُهَا	أوستكتبها	ʾawasataktúbuha̱
أَوَسَتَكْتُبُهُ	أوستكتبه	ʾawasataktúbuhu
أَوَسَتَكْتُبُهُمْ	أوستكتبهم	ʾawasataktúbuhum
أَوَسَتَكْتُبُهُمَا	أوستكتبهما	ʾawasataktubúhuma̱
أَوَسَتَكْتُبُهُنَّ	أوستكتبهن	ʾawasataktubuhúnna
أَوَسَتَكْتُبُكُنَّ	أوستكتبكن	ʾawasataktubukúnna
أَفَسَتَكْتُبُ	أفستكتب	ʾafasatáktubu
أَفَسَتَكْتُبُنِي	أفستكتبني	ʾafasataktúbuni̱
أَفَسَتَكْتُبُنَا	أفستكتبنا	ʾafasataktúbuna̱
أَفَسَتَكْتُبُكَ	أفستكتبك	ʾafasataktúbuka
أَفَسَتَكْتُبُكِ	أفستكتبك	ʾafasataktúbuki
أَفَسَتَكْتُبُكُمْ	أفستكتبكم	ʾafasataktúbukum
أَفَسَتَكْتُبُكُمَا	أفستكتبكما	ʾafasataktubúkuma̱
أَفَسَتَكْتُبُهَا	أفستكتبها	ʾafasataktúbuha̱
أَفَسَتَكْتُبُهُ	أفستكتبه	ʾafasataktúbuhu
أَفَسَتَكْتُبُهُمْ	أفستكتبهم	ʾafasataktúbuhum
أَفَسَتَكْتُبُهُمَا	أفستكتبهما	ʾafasataktubúhuma̱
أَفَسَتَكْتُبُهُنَّ	أفستكتبهن	ʾafasataktubuhúnna
أَفَسَتَكْتُبُكُنَّ	أفستكتبكن	ʾafasataktubukúnna
سَتَكْتُبَانِ	ستكتبان	sataktubā́ni
سَتَكْتُبَانِنِي	ستكتبانني	sataktubā́nini̱
سَتَكْتُبَانِنَا	ستكتباننا	sataktubā́nina̱
سَتَكْتُبَانِكَ	ستكتبانك	sataktubā́nika
سَتَكْتُبَانِكِ	ستكتبانك	sataktubā́niki
سَتَكْتُبَانِكُمْ	ستكتبانكم	sataktubā́nikum
سَتَكْتُبَانِكُمَا	ستكتبانكما	sataktubāníkuma̱
سَتَكْتُبَانِهَا	ستكتبانها	sataktubā́niha̱
سَتَكْتُبَانِهِ	ستكتبانه	sataktubā́nihi
سَتَكْتُبَانِهِمْ	ستكتبانهم	sataktubā́nihim
سَتَكْتُبَانِهِمَا	ستكتبانهما	sataktubāníhima̱
سَتَكْتُبَانِهِنَّ	ستكتبانهن	sataktubānihínna
سَتَكْتُبَانِكُنَّ	ستكتبانكن	sataktubānikúnna
وَسَتَكْتُبَانِ	وستكتبان	wasataktubā́ni
وَسَتَكْتُبَانِنِي	وستكتبانني	wasataktubā́nini̱
وَسَتَكْتُبَانِنَا	وستكتباننا	wasataktubā́nina̱
وَسَتَكْتُبَانِكَ	وستكتبانك	wasataktubā́nika
وَسَتَكْتُبَانِكِ	وستكتبانك	wasataktubā́niki
وَسَتَكْتُبَانِكُمْ	وستكتبانكم	wasataktubā́nikum
وَسَتَكْتُبَانِكُمَا	وستكتبانكما	wasataktubāníkuma̱
وَسَتَكْتُبَانِهَا	وستكتبانها	wasataktubā́niha̱
وَسَتَكْتُبَانِهِ	وستكتبانه	wasataktubā́nihi
وَسَتَكْتُبَانِهِمْ	وستكتبانهم	wasataktubā́nihim
وَسَتَكْتُبَانِهِمَا	وستكتبانهما	wasataktubāníhima̱
وَسَتَكْتُبَانِهِنَّ	وستكتبانهن	wasataktubānihínna
وَسَتَكْتُبَانِكُنَّ	وستكتبانكن	wasataktubānikúnna
فَسَتَكْتُبَانِ	فستكتبان	fasataktubā́ni
فَسَتَكْتُبَانِنِي	فستكتبانني	fasataktubā́nini̱
فَسَتَكْتُبَانِنَا	فستكتباننا	fasataktubā́nina̱
فَسَتَكْتُبَانِكَ	فستكتبانك	fasataktubā́nika
فَسَتَكْتُبَانِكِ	فستكتبانك	fasataktubā́niki
فَسَتَكْتُبَانِكُمْ	فستكتبانكم	fasataktubā́nikum
فَسَتَكْتُبَانِكُمَا	فستكتبانكما	fasataktubāníkuma̱
فَسَتَكْتُبَانِهَا	فستكتبانها	fasataktubā́niha̱
فَسَتَكْتُبَانِهِ	فستكتبانه	fasataktubā́nihi
فَسَتَكْتُبَانِهِمْ	فستكتبانهم	fasataktubā́nihim
فَسَتَكْتُبَانِهِمَا	فستكتبانهما	fasataktubāníhima̱
فَسَتَكْتُبَانِهِنَّ	فستكتبانهن	fasataktubānihínna
فَسَتَكْتُبَانِكُنَّ	فستكتبانكن	fasataktubānikúnna
أَسَتَكْتُبَانِ	أستكتبان	ʾasataktubā́ni
أَسَتَكْتُبَانِنِي	أستكتبانني	ʾasataktubā́nini̱
أَسَتَكْتُبَانِنَا	أستكتباننا	ʾasataktubā́nina̱
أَسَتَكْتُبَانِكَ	أستكتبانك	ʾasataktubā́nika
أَسَتَكْتُبَانِكِ	أستكتبانك	ʾasataktubā́niki
أَسَتَكْتُبَانِكُمْ	أستكتبانكم	ʾasataktubā́nikum
أَسَتَكْتُبَانِكُمَا	أستكتبانكما	ʾasataktubāníkuma̱
أَسَتَكْتُبَانِهَا	أستكتبانها	ʾasataktubā́niha̱
أَسَتَكْتُبَانِهِ	أستكتبانه	ʾasataktubā́nihi
أَسَتَكْتُبَانِهِمْ	أستكتبانهم	ʾasataktubā́nihim
أَسَتَكْتُبَانِهِمَا	أستكتبانهما	ʾasataktubāníhima̱
أَسَتَكْتُبَانِهِنَّ	أستكتبانهن	ʾasataktubānihínna
أَسَتَكْتُبَانِكُنَّ	أستكتبانكن	ʾasataktubānikúnna
أَوَسَتَكْتُبَانِ	أوستكتبان	ʾawasataktubā́ni
أَوَسَتَكْتُبَانِنِي	أوستكتبانني	ʾawasataktubā́nini̱
أَوَسَتَكْتُبَانِنَا	أوستكتباننا	ʾawasataktubā́nina̱
أَوَسَتَكْتُبَانِكَ	أوستكتبانك	ʾawasataktubā́nika
أَوَسَتَكْتُبَانِكِ	أوستكتبانك	ʾawasataktubā́niki
أَوَسَتَكْتُبَانِكُمْ	أوستكتبانكم	ʾawasataktubā́nikum
أَوَسَتَكْتُبَانِكُمَا	أوستكتبانكما	ʾawasataktubāníkuma̱
أَوَسَتَكْتُبَانِهَا	أوستكتبانها	ʾawasataktubā́niha̱
أَوَسَتَكْتُبَانِهِ	أوستكتبانه	ʾawasataktubā́nihi
أَوَسَتَكْتُبَانِهِمْ	أوستكتبانهم	ʾawasataktubā́nihim
أَوَسَتَكْتُبَانِهِمَا	أوستكتبانهما	ʾawasataktubāníhima̱
أَوَسَتَكْتُبَانِهِنَّ	أوستكتبانهن	ʾawasataktubānihínna
أَوَسَتَكْتُبَانِكُنَّ	أوستكتبانكن	ʾawasataktubānikúnna
أَفَسَتَكْتُبَانِ	أفستكتبان	ʾafasataktubā́ni
أَفَسَتَكْتُبَانِنِي	أفستكتبانني	ʾafasataktubā́nini̱
أَفَسَتَكْتُبَانِنَا	أفستكتباننا	ʾafasataktubā́nina̱
أَفَسَتَكْتُبَانِكَ	أفستكتبانك	ʾafasataktubā́nika
أَفَسَتَكْتُبَانِكِ	أفستكتبانك	ʾafasataktubā́niki
أَفَسَتَكْتُبَانِكُمْ	أفستكتبانكم	ʾafasataktubā́nikum
أَفَسَتَكْتُبَانِكُمَا	أفستكتبانكما	ʾafasataktubāníkuma̱
أَفَسَتَكْتُبَانِهَا	أفستكتبانها	ʾafasataktubā́niha̱
أَفَسَتَكْتُبَانِهِ	أفستكتبانه	ʾafasataktubā́nihi
أَفَسَتَكْتُبَانِهِمْ	أفستكتبانهم	ʾafasataktubā́nihim
أَفَسَتَكْتُبَانِهِمَا	أفستكتبانهما	ʾafasataktubāníhima̱
أَفَسَتَكْتُبَانِهِنَّ	أفستكتبانهن	ʾafasataktubānihínna
أَفَسَتَكْتُبَانِكُنَّ	أفستكتبانكن	ʾafasataktubānikúnna
سَتَكْتُبَانِ	ستكتبان	sataktubā́ni
سَتَكْتُبَانِنِي	ستكتبانني	sataktubā́nini̱
سَتَكْتُبَانِنَا	ستكتباننا	sataktubā́nina̱
سَتَكْتُبَانِكَ	ستكتبانك	sataktubā́nika
سَتَكْتُبَانِكِ	ستكتبانك	sataktubā́niki
سَتَكْتُبَانِكُمْ	ستكتبانكم	sataktubā́nikum
سَتَكْتُبَانِكُمَا	ستكتبانكما	sataktubāníkuma̱
سَتَكْتُبَانِهَا	ستكتبانها	sataktubā́niha̱
سَتَكْتُبَانِهِ	ستكتبانه	sataktubā́nihi
سَتَكْتُبَانِهِمْ	ستكتبانهم	sataktubā́nihim
سَتَكْتُبَانِهِمَا	ستكتبانهما	sataktubāníhima̱
سَتَكْتُبَانِهِنَّ	ستكتبانهن	sataktubānihínna
سَتَكْتُبَانِكُنَّ	ستكتبانكن	sataktubānikúnna
وَسَتَكْتُبَانِ	وستكتبان	wasataktubā́ni
وَسَتَكْتُبَانِنِي	وستكتبانني	wasataktubā́nini̱
وَسَتَكْتُبَانِنَا	وستكتباننا	wasataktubā́nina̱
وَسَتَكْتُبَانِكَ	وستكتبانك	wasataktubā́nika
وَسَتَكْتُبَانِكِ	وستكتبانك	wasataktubā́niki
وَسَتَكْتُبَانِكُمْ	وستكتبانكم	wasataktubā́nikum
وَسَتَكْتُبَانِكُمَا	وستكتبانكما	wasataktubāníkuma̱
وَسَتَكْتُبَانِهَا	وستكتبانها	wasataktubā́niha̱
وَسَتَكْتُبَانِهِ	وستكتبانه	wasataktubā́nihi
وَسَتَكْتُبَانِهِمْ	وستكتبانهم	wasataktubā́nihim
وَسَتَكْتُبَانِهِمَا	وستكتبانهما	wasataktubāníhima̱
وَسَتَكْتُبَانِهِنَّ	وستكتبانهن	wasataktubānihínna
وَسَتَكْتُبَانِكُنَّ	وستكتبانكن	wasataktubānikúnna
